username;nome;perfil;login_data_hora;logout_data_hora;status
renato;renato;admin;2026-04-18 21:05:20;;LOGIN
joaocesar;joaocesar;admin;2026-04-18 21:22:26;;LOGIN
marcos;Marcos;admin;2026-04-18 21:55:31;;LOGIN
marcos;Marcos;admin;2026-04-18 22:58:42;;LOGIN
marcos;Marcos;admin;2026-04-18 23:06:43;;LOGIN
joaocesar;joaocesar;admin;2026-04-18 23:12:42;;LOGIN
marcos;Marcos;admin;2026-04-18 23:17:31;;LOGIN
rafael;rafael;admin;2026-04-18 23:34:36;;LOGIN
marcos;Marcos;admin;2026-04-18 23:51:56;;LOGIN
marcos;Marcos;admin;2026-04-19 19:20:10;;LOGIN
marcos;Marcos;admin;2026-04-19 20:46:44;;LOGIN
marcos;Marcos;admin;2026-04-19 21:41:41;;LOGIN
marcos;Marcos;admin;2026-04-20 10:14:38;;LOGIN
marcos;Marcos;admin;2026-04-20 10:29:51;;LOGIN
marcos;Marcos;admin;2026-04-20 10:31:58;;LOGIN
marcos;Marcos;admin;2026-04-20 10:36:08;;LOGIN
marcos;Marcos;admin;2026-04-20 10:43:00;;LOGIN
marcos;Marcos;admin;2026-04-20 10:49:32;;LOGIN
marcos;Marcos;admin;2026-04-20 10:58:43;;LOGIN
marcos;Marcos;admin;2026-04-20 11:14:44;;LOGIN
marcos;Marcos;admin;2026-04-20 11:22:18;;LOGIN
marcos;Marcos;admin;2026-04-20 15:17:28;;LOGIN
marcos;Marcos;admin;2026-04-20 15:21:30;;LOGIN
marcos;Marcos;admin;2026-04-20 17:17:01;;LOGIN
marcos;Marcos;admin;2026-04-20 17:59:40;;LOGIN
marcos;Marcos;admin;2026-04-21 09:33:49;;LOGIN
marcos;Marcos;admin;2026-04-21 20:50:36;;LOGIN
marcos;Marcos;admin;2026-04-21 20:59:53;;LOGIN
marcos;Marcos;admin;2026-04-21 22:14:02;;LOGIN
marcos;Marcos;admin;2026-04-21 22:22:27;;LOGIN
marcos;Marcos;admin;2026-04-23 14:54:12;;LOGIN
marcos;Marcos;admin;2026-04-23 15:02:36;;LOGIN
marcos;Marcos;admin;2026-04-23 15:04:33;;LOGIN
marcos;Marcos;admin;2026-04-23 15:09:12;;LOGIN
marcos;Marcos;admin;2026-04-23 15:09:41;;LOGIN
marcos;Marcos;admin;2026-04-23 15:14:30;;LOGIN
marcos;Marcos;admin;2026-04-23 15:21:02;;LOGIN
marcos;Marcos;admin;2026-04-23 15:26:09;;LOGIN
marcos;Marcos;admin;2026-04-23 15:51:12;;LOGIN
marcos;Marcos;admin;2026-04-23 15:53:50;;LOGIN
marcos;Marcos;admin;2026-04-23 16:14:42;;LOGIN
